id,model_type,model_id,uuid,collection_name,name,file_name,mime_type,disk,conversions_disk,size,manipulations,custom_properties,generated_conversions,responsive_images,order_column,created_at,updated_at
1,App\Models\User,5,d0b4df5d-0164-44ff-b460-a9aded813429,profile,console,console.png,image/png,public,public,42807,[],[],[],[],1,2023-06-19 17:49:15,2023-06-19 17:49:15
2,App\Models\Product,1,e1c024f6-5533-40d3-8365-d7505260d05b,product,joystick,joystick.png,image/png,public,public,21918,[],[],[],[],2,2023-06-19 18:05:55,2023-06-19 18:05:55
3,App\Models\Setting,90,0b689303-a10f-47ee-906d-3d55ba252c81,settings,console,brand-logo-6c80b35745f8aea0a3ef0f5c3a1304a7.png,image/png,public,public,42807,[],[],[],[],3,2023-06-19 18:33:16,2023-06-19 18:33:16
4,App\Models\User,7,d752e2bc-dddf-47ae-a283-990a0a64bc52,profile,joystick,joystick.png,image/png,public,public,21918,[],[],[],[],4,2023-06-19 18:37:56,2023-06-19 18:37:56
6,App\Models\Setting,152,3ca9be58-8d57-489e-a1bd-d9ec96196409,settings,600x600 (3),brand-logo-4f1eade9da921a4764722525b2927c7f.png,image/jpeg,public,public,88585,[],[],[],[],6,2023-06-24 10:03:44,2023-06-24 10:03:44
7,App\Models\User,10,d6a2b608-9711-44c5-89f3-ccd1f3a810f3,profile,2a35ba8c-f5db-4375-8b4a-555124c80427,2a35ba8c-f5db-4375-8b4a-555124c80427.jpeg,image/jpeg,public,public,85972,[],[],[],[],7,2023-06-24 10:07:01,2023-06-24 10:07:01
8,App\Models\Setting,360,a32df44d-a142-48c9-996c-df6bead36229,settings,console,brand-logo-2f460b6e28e9b5ff4270bc25e924bfec.png,image/png,public,public,42807,[],[],[],[],8,2023-06-27 16:33:10,2023-06-27 16:33:10
9,App\Models\Setting,338,a446bbcb-8ed0-4be4-95d9-03caddd27f3a,settings,console,brand-logo-81788e777c4ff0c244ae903a7e1cfcaf.png,image/png,public,public,42807,[],[],[],[],9,2023-06-27 16:33:21,2023-06-27 16:33:21
11,App\Models\User,32,6969d02a-488f-4a03-9715-dcbefae7f7a5,profile,joystick,joystick.png,image/png,public,public,21918,[],[],[],[],11,2023-06-27 16:45:26,2023-06-27 16:45:26
12,App\Models\User,33,d0d46043-a57a-442e-984f-d8996fadabd6,profile,computer-game,computer-game.png,image/png,public,public,28296,[],[],[],[],12,2023-06-27 16:53:00,2023-06-27 16:53:00
13,App\Models\Setting,650,ea9ced59-e23f-4654-aa96-5c85e5850180,settings,cws logo,brand-logo-5bd035cd0c6bb07fb0aaf5a8d0ccad0d.png,image/png,public,public,80319,[],[],[],[],13,2023-07-04 11:53:11,2023-07-04 11:53:11
14,App\Models\Setting,673,fc883f8f-3e1c-46b9-a8c1-6ea658919799,settings,Untitled23,brand-logo-499755ed7918c5db7466680e07408e93.png,image/jpeg,public,public,3615,[],[],[],[],14,2023-07-04 11:53:11,2023-07-04 11:53:11
16,App\Models\User,49,1c10881b-5fb3-43cb-bb52-1dba2468e23e,profile,Untitled23,Untitled23.jpg,image/jpeg,public,public,3615,[],[],[],[],16,2023-07-04 12:01:39,2023-07-04 12:01:39
17,App\Models\Product,15,35d96e05-c6fd-4dce-800f-fc0dfc67a320,product,download (5),download-(5).jpg,image/jpeg,public,public,57791,[],[],[],[],17,2023-07-04 12:06:20,2023-07-04 12:06:20
18,App\Models\User,50,0ed49876-fc49-4cb7-993b-55425b607107,profile,web logo,web-logo.jpg,image/jpeg,public,public,7512,[],[],[],[],18,2023-07-04 12:28:06,2023-07-04 12:28:06
19,App\Models\User,54,5d52eb85-3cc1-4653-ab85-fed9211b3f2d,profile,istockphoto-501533193-612x612,istockphoto-501533193-612x612.jpg,image/jpeg,public,public,63119,[],[],[],[],19,2023-07-05 18:10:03,2023-07-05 18:10:03
20,App\Models\Setting,686,35ca0be2-ae88-4f6b-bd91-c1f03653dfe8,settings,Untitled76,brand-logo-f7c44b5493aeeda49296f2884fd275d6.png,image/jpeg,public,public,6093,[],[],[],[],20,2023-07-05 18:12:24,2023-07-05 18:12:24
21,App\Models\Setting,709,f0eac4e5-9bb6-4263-a0c1-702b3b493afb,settings,Untitled23,brand-logo-76422575e20d163fe13d02b84a4f21a2.png,image/jpeg,public,public,3615,[],[],[],[],21,2023-07-05 18:12:24,2023-07-05 18:12:24
22,App\Models\Blog,1,6fe2ffe0-a6f7-45fd-9f14-6b26a5221097,blog,e-invoice-1,e-invoice-1.jpg,image/jpeg,public,public,157700,[],[],[],[],22,2023-07-12 15:38:21,2023-07-12 15:38:21
23,App\Models\Blog,2,6cde0ea6-3eb1-4c4c-a571-3e9ab3f44861,blog,e-invoice,e-invoice.jpg,image/jpeg,public,public,187972,[],[],[],[],23,2023-07-12 15:41:47,2023-07-12 15:41:47
24,App\Models\Blog,3,ebb5e9df-ec62-4f10-8d2d-474cbb8248ab,blog,invoicing-software,invoicing-software.jpg,image/jpeg,public,public,182015,[],[],[],[],24,2023-07-12 15:45:09,2023-07-12 15:45:09
25,App\Models\Blog,4,a6644239-39d1-43b6-a356-ee31dd633ead,blog,streamline,streamline.jpg,image/jpeg,public,public,191300,[],[],[],[],25,2023-07-12 15:52:23,2023-07-12 15:52:23
28,App\Models\Setting,718,a8a861fd-df60-4eb3-abb6-668b4c8a1a8f,settings,Untitled23,brand-logo-b616e49c999e87fbede5141da73ef850.png,image/jpeg,public,public,3615,[],[],[],[],27,2023-07-13 13:39:02,2023-07-13 13:39:02
29,App\Models\Setting,741,9755bb26-16ed-4075-a201-25a15341a531,settings,cws logo,brand-logo-eaa5fca2afbfcae2cbafc66771f5d415.png,image/png,public,public,80319,[],[],[],[],28,2023-07-13 13:39:02,2023-07-13 13:39:02
30,App\Models\Product,23,9a815772-7c63-4d63-b8a8-3db27d0a2686,product,download (1),download-(1).jpg,image/jpeg,public,public,8662,[],[],[],[],29,2023-07-13 13:54:22,2023-07-13 13:54:22
31,App\Models\User,57,757014a4-4105-4991-b2bc-273340fbd4b8,profile,web logo,web-logo.jpg,image/jpeg,public,public,7512,[],[],[],[],30,2023-07-13 14:29:22,2023-07-13 14:29:22
32,App\Models\Blog,7,fbc3ceeb-539e-4f4c-b855-eeb6db1df3fc,blog,tax-g5cb0789de_1280,tax-g5cb0789de_1280.png,image/png,public,public,94316,[],[],[],[],31,2023-07-17 11:52:57,2023-07-17 11:52:57
33,App\Models\Blog,8,8d031b70-3694-4024-b2af-909c70754b36,blog,invoice-gfa175be96_1280,invoice-gfa175be96_1280.jpg,image/jpeg,public,public,45360,[],[],[],[],32,2023-07-17 12:33:53,2023-07-17 12:33:53
